%Time (s),Wheel Position (deg),Slide position (mm),Wheel Speed (deg/s),Slide Speed (mm/s)
0,20452.301,201.94,955.083,215.879
0.02,20471.721,200.324,954.25,-320.52
0.04,20490.48,190.222,962.083,-676.273
0.06,20510.18,174.039,958.25,-917.817
0.08,20529.08,153.961,1018.75,-1093.252
0.1,20550.539,130.509,996.583,-1242.428
0.12,20568.859,104.366,954.833,-1389.757
0.14,20589.24,75.468,1013.25,-1444.518
0.16,20609.52,47.171,1079.333,-1435.611
0.18,20632.641,19.635,1195.333,-1189.778
0.2,20657.02,2.249,1256,-490.215
0.22,20682.359,1.631,1238.167,476.492
0.24,20705.84,20.791,1100.917,1360.265
0.26,20726.039,53.616,895.917,1830.62
0.28,20742.24,91.667,797.417,1931.896
0.3,20758.539,129.29,802.667,1800.205
0.32,20774.461,162.527,811,1514.653
0.34,20791.16,188.448,845.083,996.331
0.36,20808.561,201.417,942.167,304.752
0.38,20828.52,201.29,973.25,-261.074
0.4,20847.221,192.122,953,-634.97
0.42,20866.859,176.747,983.667,-877.043
0.44,20886.561,157.46,1017.417,-1060.923
0.46,20907.16,134.484,967.333,-1225.934
0.48,20925.439,108.642,951.75,-1360.396
0.5,20945.74,80.424,1038.25,-1444.848
0.52,20966.779,51.479,1068.333,-1447.685
0.54,20988.699,23.942,1152,-1241.505
0.56,21012.721,4.228,1207.167,-638.533
0.58,21036.779,0.38,1245.75,298.55
0.6,21061.699,16.231,1133.5,1261.232
0.62,21081.561,48.312,913.167,1781.401
0.64,21098.92,84.985,837.5,1899.435
0.66,21115.381,122.877,802.25,1830.884
0.68,21131.26,156.89,797.417,1562.816
0.7,21147.74,184.141,879.167,1106.514
0.72,21166.42,200.024,962.333,452.278
0.74,21185.66,202.383,925.917,-172.466
0.76,21203.66,194.276,935.333,-595.714
0.78,21223.439,179.549,1023.583,-862.132
0.8,21244.18,160.326,1024.667,-1052.148
0.82,21264.16,137.698,974.917,-1212.738
0.84,21283.5,111.983,994.5,-1358.351
0.86,21304.02,83.86,1019.667,-1414.762
0.88,21324.381,55.627,1053,-1471.239
0.9,21346.48,26.396,1158.75,-1325.824
0.92,21370.461,5.368,1209.083,-708.998
0.94,21394.561,-0.016,1223.5,226.832
0.96,21418.84,14.489,1148.167,1178.694
0.98,21439.881,44.923,956,1750.062
1,21457.461,81.992,843.417,1918.833
1.02,21474.08,119.995,805.25,1844.344
1.04,21490.02,154.546,819.417,1601.743
1.06,21507.1,182.716,876.5,1150.587
1.08,21524.961,199.343,898,483.024
1.1,21543.24,202.225,974.917,-147.988
1.12,21563.619,194.687,987.583,-554.082
1.14,21582.4,180.99,926.25,-813.506
1.16,21601.221,162.448,986.583,-1050.499
1.18,21621.74,139.551,1018.167,-1180.541
1.2,21641.561,115.292,966.583,-1320.15
1.22,21660.76,87.075,993.75,-1409.616
1.24,21681.4,59.475,1021.333,-1414.894
1.26,21701.961,31.321,1113.25,-1322.855
1.28,21726.039,8.836,1233.75,-853.687
1.3,21750.699,-0.554,1252.583,-3.893
1.32,21775.221,9.358,1101.833,968.95
1.34,21794.779,36.436,969.417,1634.732
