%Time (ms),Hubangle(Theta in rad),Tip Deflection(m),Hub Angular Velocity (rads/s),Tip Velocity (m/s),Position Reference (rad),Output Voltage (V),K1 (Hub Prop),K2 (Tip Prop),K3 (Hub Deriv),K4 (Tip Deriv),%4/23/20193:12 PM,
4109162,0.196,0.001,0.026,0,0.2,0.01,10,-10,1.5,1.5,0,0
4109163,0.196,0.001,0.028,-0.001,0.2,0.009,10,-10,1.5,1.5,0,0
4109164,0.196,0.002,0.031,0,0.2,0.011,10,-10,1.5,1.5,0,0
4109165,0.196,0.001,0.033,-0.001,0.2,0.001,10,-10,1.5,1.5,0,0
4109166,0.196,0.002,0.035,-0.001,0.2,0.005,10,-10,1.5,1.5,0,0
4109167,0.196,0.002,0.037,0.002,0.2,-0.001,10,-10,1.5,1.5,0,0
4109168,0.196,0.001,0.038,0,0.2,-0.008,10,-10,1.5,1.5,0,0
4109169,0.196,0.002,0.04,0.001,0.2,-0.004,10,-10,1.5,1.5,0,0
4109170,0.196,0.002,0.041,0.003,0.2,-0.009,10,-10,1.5,1.5,0,0
4109171,0.19,0.001,0.027,0.001,0.2,0.069,10,-10,1.5,1.5,0,0
4109172,0.196,0.002,0.021,0.002,0.2,0.023,10,-10,1.5,1.5,0,0
4109173,0.196,0.001,0.027,0.002,0.2,0.006,10,-10,1.5,1.5,0,0
4109174,0.196,0.002,0.019,0.001,0.2,0.026,10,-10,1.5,1.5,0,0
4109175,0.196,0.001,0.024,0.002,0.2,0.011,10,-10,1.5,1.5,0,0
4109176,0.196,0.002,0.03,0.001,0.2,0.009,10,-10,1.5,1.5,0,0
4109177,0.202,0.002,0.041,0.003,0.2,-0.071,10,-10,1.5,1.5,0,0
4109178,0.196,0.002,0.05,0.004,0.2,-0.024,10,-10,1.5,1.5,0,0
4109179,0.196,0.001,0.045,0.003,0.2,-0.022,10,-10,1.5,1.5,0,0
4109180,0.196,0.002,0.054,0.004,0.2,-0.029,10,-10,1.5,1.5,0,0
4109181,0.196,0.002,0.049,0.005,0.2,-0.024,10,-10,1.5,1.5,0,0
4109182,0.196,0.002,0.043,0.004,0.2,-0.015,10,-10,1.5,1.5,0,0
4109183,0.196,0.002,0.046,0.006,0.2,-0.021,10,-10,1.5,1.5,0,0
4109184,0.196,0.002,0.043,0.007,0.2,-0.019,10,-10,1.5,1.5,0,0
4109185,0.19,0.001,0.028,0.005,0.2,0.062,10,-10,1.5,1.5,0,0
4109186,0.196,0.002,0.02,0.005,0.2,0.019,10,-10,1.5,1.5,0,0
4109187,0.196,0.002,0.024,0.006,0.2,0.011,10,-10,1.5,1.5,0,0
4109188,0.19,0.002,0,0.006,0.2,0.109,10,-10,1.5,1.5,0,0
4109189,0.202,0.002,0.011,0.007,0.2,-0.031,10,-10,1.5,1.5,0,0
4109190,0.196,0.001,0.029,0.006,0.2,-0.002,10,-10,1.5,1.5,0,0
4109191,0.196,0.002,0.01,0.005,0.2,0.033,10,-10,1.5,1.5,0,0
4109192,0.196,0.002,0.024,0.007,0.2,0.011,10,-10,1.5,1.5,0,0
4109193,0.196,0.001,0.026,0.004,0.2,0.005,10,-10,1.5,1.5,0,0
4109194,0.196,0.002,0.016,0.004,0.2,0.026,10,-10,1.5,1.5,0,0
4109195,0.196,0.002,0.021,0.006,0.2,0.016,10,-10,1.5,1.5,0,0
4109196,0.196,0.001,0.02,0.003,0.2,0.015,10,-10,1.5,1.5,0,0
4109197,0.196,0.002,0.02,0.004,0.2,0.022,10,-10,1.5,1.5,0,0
4109198,0.196,0.001,0.019,0.004,0.2,0.016,10,-10,1.5,1.5,0,0
4109199,0.202,0.002,0.033,0.002,0.2,-0.057,10,-10,1.5,1.5,0,0
4109200,0.196,0.002,0.039,0.003,0.2,-0.007,10,-10,1.5,1.5,0,0
4109201,0.196,0.002,0.032,0.003,0.2,0.003,10,-10,1.5,1.5,0,0
4109202,0.196,0.001,0.04,0.002,0.2,-0.013,10,-10,1.5,1.5,0,0
4109203,0.196,0.002,0.034,0.003,0.2,0.001,10,-10,1.5,1.5,0,0
