%Time (ms),Hubangle(Theta in rad),Tip Deflection(m),Hub Angular Velocity (rads/s),Tip Velocity (m/s),Position Reference (rad),Output Voltage (V),K1 (Hub Prop),K2 (Tip Prop),K3 (Hub Deriv),K4 (Tip Deriv),%4/25/20193:15 PM,
4198990,0.196,-0.001,0.099,0.002,0.2,-0.077,12,0,1.2,1.2,0,0
4198991,0.196,-0.001,0.103,0.002,0.2,-0.082,12,0,1.2,1.2,0,0
4198992,0.196,0,0.114,0.002,0.2,-0.096,12,0,1.2,1.2,0,0
4198993,0.196,-0.001,0.131,0.003,0.2,-0.116,12,0,1.2,1.2,0,0
4198994,0.196,-0.001,0.135,0.002,0.2,-0.12,12,0,1.2,1.2,0,0
4198995,0.196,-0.001,0.144,0.002,0.2,-0.131,12,0,1.2,1.2,0,0
4198996,0.19,-0.001,0.136,0.001,0.2,-0.047,12,0,1.2,1.2,0,0
4198997,0.19,-0.001,0.121,0,0.2,-0.027,12,0,1.2,1.2,0,0
4198998,0.196,0,0.124,0.002,0.2,-0.107,12,0,1.2,1.2,0,0
4198999,0.196,-0.001,0.125,0.002,0.2,-0.109,12,0,1.2,1.2,0,0
4199000,0.196,0,0.125,0.002,0.2,-0.108,12,0,1.2,1.2,0,0
4199001,0.196,0,0.138,0.005,0.2,-0.127,12,0,1.2,1.2,0,0
4199002,0.196,0,0.142,0.006,0.2,-0.134,12,0,1.2,1.2,0,0
4199003,0.196,-0.001,0.142,0.006,0.2,-0.134,12,0,1.2,1.2,0,0
4199004,0.196,-0.001,0.146,0.005,0.2,-0.138,12,0,1.2,1.2,0,0
4199005,0.196,-0.001,0.148,0.005,0.2,-0.139,12,0,1.2,1.2,0,0
4199006,0.196,-0.001,0.149,0.003,0.2,-0.138,12,0,1.2,1.2,0,0
4199007,0.196,-0.001,0.149,0.002,0.2,-0.138,12,0,1.2,1.2,0,0
4199008,0.196,0,0.149,0.003,0.2,-0.139,12,0,1.2,1.2,0,0
4199009,0.196,-0.001,0.148,0.003,0.2,-0.138,12,0,1.2,1.2,0,0
4199010,0.196,-0.001,0.147,0.002,0.2,-0.134,12,0,1.2,1.2,0,0
4199011,0.196,-0.001,0.145,0.002,0.2,-0.133,12,0,1.2,1.2,0,0
4199012,0.196,0,0.143,0.003,0.2,-0.131,12,0,1.2,1.2,0,0
4199013,0.196,-0.001,0.14,0.002,0.2,-0.127,12,0,1.2,1.2,0,0
4199014,0.196,0,0.138,0.003,0.2,-0.125,12,0,1.2,1.2,0,0
4199015,0.196,-0.001,0.135,0.004,0.2,-0.122,12,0,1.2,1.2,0,0
4199016,0.196,-0.001,0.131,0.002,0.2,-0.116,12,0,1.2,1.2,0,0
4199017,0.196,-0.001,0.128,0.002,0.2,-0.111,12,0,1.2,1.2,0,0
4199018,0.196,-0.001,0.124,0.001,0.2,-0.106,12,0,1.2,1.2,0,0
4199019,0.196,0,0.12,0.001,0.2,-0.102,12,0,1.2,1.2,0,0
4199020,0.196,0,0.116,0.003,0.2,-0.099,12,0,1.2,1.2,0,0
4199021,0.196,-0.001,0.112,0.002,0.2,-0.094,12,0,1.2,1.2,0,0
4199022,0.196,0,0.108,0.004,0.2,-0.09,12,0,1.2,1.2,0,0
4199023,0.196,0,0.104,0.006,0.2,-0.088,12,0,1.2,1.2,0,0
4199024,0.196,-0.001,0.099,0.004,0.2,-0.08,12,0,1.2,1.2,0,0
4199025,0.196,0,0.095,0.005,0.2,-0.076,12,0,1.2,1.2,0,0
4199026,0.196,0,0.091,0.007,0.2,-0.074,12,0,1.2,1.2,0,0
4199027,0.196,0,0.087,0.007,0.2,-0.069,12,0,1.2,1.2,0,0
4199028,0.196,0,0.082,0.009,0.2,-0.065,12,0,1.2,1.2,0,0
4199029,0.196,0,0.078,0.01,0.2,-0.062,12,0,1.2,1.2,0,0
4199030,0.196,0,0.074,0.01,0.2,-0.058,12,0,1.2,1.2,0,0
4199031,0.196,0,0.07,0.011,0.2,-0.054,12,0,1.2,1.2,0,0
4199032,0.196,-0.001,0.066,0.01,0.2,-0.048,12,0,1.2,1.2,0,0
4199033,0.19,0,0.048,0.01,0.2,0.048,12,0,1.2,1.2,0,0
4199034,0.202,0,0.052,0.011,0.2,-0.105,12,0,1.2,1.2,0,0
4199035,0.196,-0.001,0.061,0.009,0.2,-0.04,12,0,1.2,1.2,0,0
4199036,0.196,0,0.043,0.009,0.2,-0.019,12,0,1.2,1.2,0,0
4199037,0.196,0,0.053,0.011,0.2,-0.032,12,0,1.2,1.2,0,0
4199038,0.196,-0.001,0.051,0.008,0.2,-0.027,12,0,1.2,1.2,0,0
4199039,0.196,0,0.038,0.008,0.2,-0.012,12,0,1.2,1.2,0,0
4199040,0.196,0,0.041,0.01,0.2,-0.017,12,0,1.2,1.2,0,0
