%Time (ms),Hubangle(Theta in rad),Tip Deflection(m),Hub Angular Velocity (rads/s),Tip Velocity (m/s),Position Reference (rad),Output Voltage (V),K1 (Hub Prop),K2 (Tip Prop),K3 (Hub Deriv),K4 (Tip Deriv),%4/23/20193:07 PM,
3921892,-0.172,0,-0.014,0,-0.2,-1.39,50,0,1.5,0,0,0
3921893,-0.172,0,-0.017,0,-0.2,-1.385,50,0,1.5,0,0,0
3921894,-0.172,0,-0.019,0,-0.2,-1.381,50,0,1.5,0,0,0
3921895,-0.172,0,-0.022,0,-0.2,-1.377,50,0,1.5,0,0,0
3921896,-0.166,0,-0.01,0,-0.2,-1.702,50,0,1.5,0,0,0
3921897,-0.172,0,-0.005,0,-0.2,-1.402,50,0,1.5,0,0,0
3921898,-0.172,0,-0.013,0,-0.2,-1.39,50,0,1.5,0,0,0
3921899,-0.172,0,-0.006,0,-0.2,-1.4,50,0,1.5,0,0,0
3921900,-0.172,0,-0.012,0,-0.2,-1.391,50,0,1.5,0,0,0
3921901,-0.172,0,-0.02,0,-0.2,-1.38,50,0,1.5,0,0,0
3921902,-0.172,0,-0.018,0,-0.2,-1.383,50,0,1.5,0,0,0
3921903,-0.172,0,-0.021,0,-0.2,-1.378,50,0,1.5,0,0,0
3921904,-0.172,0,-0.023,0,-0.2,-1.375,50,0,1.5,0,0,0
3921905,-0.172,0,-0.025,0,-0.2,-1.373,50,0,1.5,0,0,0
3921906,-0.172,0,-0.026,0,-0.2,-1.371,50,0,1.5,0,0,0
3921907,-0.172,0,-0.027,0,-0.2,-1.369,50,0,1.5,0,0,0
3921908,-0.172,0,-0.028,0,-0.2,-1.368,50,0,1.5,0,0,0
3921909,-0.172,0,-0.029,0,-0.2,-1.366,50,0,1.5,0,0,0
3921910,-0.172,0,-0.03,0,-0.2,-1.365,50,0,1.5,0,0,0
3921911,-0.172,0,-0.03,0,-0.2,-1.365,50,0,1.5,0,0,0
3921912,-0.172,0,-0.03,0,-0.2,-1.364,50,0,1.5,0,0,0
3921913,-0.172,0,-0.03,0,-0.2,-1.364,50,0,1.5,0,0,0
3921914,-0.172,0,-0.031,0,-0.2,-1.364,50,0,1.5,0,0,0
3921915,-0.166,0,-0.016,0,-0.2,-1.692,50,0,1.5,0,0,0
3921916,-0.172,0,-0.009,0,-0.2,-1.396,50,0,1.5,0,0,0
3921917,-0.172,0,-0.015,0,-0.2,-1.387,50,0,1.5,0,0,0
3921918,-0.172,0,-0.007,0,-0.2,-1.4,50,0,1.5,0,0,0
3921919,-0.172,0,-0.011,0,-0.2,-1.393,50,0,1.5,0,0,0
3921920,-0.172,0,-0.017,0,-0.2,-1.384,50,0,1.5,0,0,0
3921921,-0.172,0,-0.014,0,-0.2,-1.389,50,0,1.5,0,0,0
3921922,-0.172,0,-0.016,0,-0.2,-1.386,50,0,1.5,0,0,0
