Alpha,Cl,Cd
-5,-0.2446,0.01398
-4.75,-0.22,0.01261
-4.5,-0.1964,0.01102
-4.25,-0.1717,0.0099
-4,-0.1465,0.00914
-3.75,-0.1202,0.00857
-3.5,-0.0937,0.00817
-3.25,-0.0666,0.00774
-3,-0.0401,0.00733
-2.75,-0.0131,0.00705
-2.5,0.0133,0.00669
-2.25,0.0395,0.00624
-2,0.0658,0.00588
-1.75,0.0923,0.0056
-1.5,0.1188,0.00531
-1.25,0.1453,0.00508
-1,0.1717,0.00488
-0.75,0.1977,0.00469
-0.5,0.2236,0.00454
-0.25,0.249,0.00442
0,0.2737,0.00432
0.25,0.2977,0.00426
0.5,0.3274,0.00427
0.75,0.3666,0.00436
1,0.4058,0.00447
1.25,0.4391,0.0046
1.5,0.464,0.00473
1.75,0.4889,0.00489
2,0.5143,0.00503
2.25,0.5397,0.00518
2.5,0.5652,0.00535
2.75,0.591,0.00552
3,0.6167,0.0057
3.25,0.6424,0.00591
3.5,0.6681,0.00612
3.75,0.6938,0.00635
4,0.7194,0.00659
4.25,0.7448,0.00685
4.5,0.7702,0.00713
4.75,0.7956,0.00741
5,0.8201,0.00779
5.25,0.845,0.00814
5.5,0.8698,0.00848
5.75,0.8947,0.00882
6,0.9193,0.00918
6.25,0.9435,0.00959
6.5,0.9675,0.01003
6.75,0.9906,0.01056
7,1.0129,0.01117
7.25,1.0351,0.01178
7.5,1.058,0.0123
7.75,1.0809,0.01281
8,1.1027,0.01344
8.25,1.1232,0.01426
8.5,1.1455,0.01479
8.75,1.1667,0.01543
9,1.1844,0.01647
9.25,1.2037,0.01725
9.5,1.222,0.0181
9.75,1.2386,0.01906
10,1.2533,0.02014
10.25,1.2664,0.02129
10.5,1.2775,0.02252
10.75,1.2844,0.02384
11,1.2865,0.02524
11.25,1.2873,0.0268
11.5,1.2853,0.02867
11.75,1.2817,0.0308
12,1.2763,0.03323
12.25,1.2693,0.03599
12.5,1.2587,0.03932
12.75,1.2504,0.04266
13,1.2329,0.04747
13.25,1.2156,0.05274
13.5,1.1969,0.05881
13.75,1.187,0.06399
14,1.1635,0.07203
14.25,1.1511,0.07864
14.5,1.1342,0.08663
14.75,1.1154,0.09548
15,1.0951,0.10521
