%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72991.515,297.195,0.856,14.937,95.448,94.998,-8.215,-4.124,-2.673,-2.610,-0.648,-5.398,-5.980,-7.170,-3.795,-0.521,1.479,-5.523,2.408,-0.000,-2.902,-5.066,0.000,13.610,26.666,-0.107,240.004,-49.929
72999.578,297.195,0.856,14.936,95.448,94.838,-7.675,-5.016,-2.352,-2.192,-0.432,-5.086,-5.980,-5.672,-4.019,-0.938,2.113,-6.160,1.780,0.314,-2.280,-4.841,0.000,13.553,26.687,-0.107,239.987,-49.951
72991.515,297.195,0.856,14.937,95.448,94.998,-8.107,-4.347,-3.421,-2.192,-0.540,-6.228,-6.087,-6.207,-3.349,-0.938,0.845,-5.736,1.152,-0.732,-2.902,-5.742,0.000,13.476,26.677,-0.106,240.004,-49.961
72995.547,297.192,0.856,14.936,95.448,95.158,-8.107,-4.347,-3.528,-2.506,-1.296,-5.294,-6.728,-6.314,-3.684,-1.459,0.951,-5.948,1.885,-0.941,-3.109,-4.728,0.000,13.360,26.666,-0.106,239.971,-49.940
72999.578,297.195,0.856,14.924,95.290,94.678,-8.972,-4.905,-3.956,-3.027,-1.188,-5.813,-6.407,-7.385,-3.795,-1.355,0.317,-6.267,0.942,-0.418,-3.006,-5.516,0.000,13.264,26.636,-0.104,239.987,-49.951
72995.547,297.195,0.856,14.930,95.369,94.998,-7.999,-5.796,-3.849,-2.506,-1.511,-5.501,-6.621,-6.635,-4.019,-1.042,1.691,-6.160,1.361,-0.000,-3.006,-5.179,0.000,13.168,26.666,-0.104,239.987,-49.951
72999.578,297.197,0.856,14.936,95.448,95.158,-8.431,-4.347,-3.635,-2.506,-0.756,-7.058,-6.194,-6.314,-3.907,-0.834,1.796,-5.842,1.571,-0.314,-3.006,-5.967,0.000,13.052,26.646,-0.103,239.971,-49.961
72995.547,297.195,0.856,14.943,95.527,94.838,-8.323,-4.570,-3.207,-2.819,-1.511,-5.501,-6.728,-7.278,-4.019,-2.293,1.057,-6.160,1.361,-0.836,-3.628,-4.953,0.000,12.975,26.636,-0.103,239.971,-49.951
72991.515,297.195,0.856,14.937,95.448,94.998,-9.296,-5.239,-3.635,-3.027,-1.403,-5.813,-6.087,-6.742,-4.019,-0.417,0.317,-6.267,1.571,-1.254,-3.213,-5.516,0.000,12.841,26.626,-0.102,240.004,-49.961
72991.515,297.194,0.856,14.918,95.211,94.838,-8.540,-5.462,-4.383,-2.819,-2.483,-6.228,-6.728,-7.170,-4.354,-1.250,1.268,-6.904,0.733,-0.627,-3.938,-5.404,0.000,12.725,26.626,-0.102,239.971,-49.951
