%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73096.331,297.653,0.856,24.964,266.574,265.924,-12.647,-8.249,-6.949,-6.264,-3.671,-9.238,-10.465,-9.204,-8.262,-5.210,-2.109,-9.772,-1.882,-4.912,-6.219,-8.781,0.000,-32.692,-23.621,0.957,-90.019,-47.370
73092.300,297.650,0.855,24.964,266.574,266.084,-13.944,-8.694,-7.056,-6.159,-3.671,-9.446,-8.970,-9.097,-7.704,-4.064,-2.531,-8.922,-1.568,-4.180,-5.908,-9.569,0.000,-32.692,-23.662,0.958,-90.036,-47.370
73100.362,297.653,0.856,24.967,266.653,265.924,-12.863,-8.806,-6.949,-5.220,-4.210,-9.653,-9.504,-9.097,-8.150,-5.106,-2.004,-10.196,-2.405,-3.971,-6.633,-9.119,0.000,-32.692,-23.692,0.958,-90.036,-47.360
73096.331,297.652,0.856,24.964,266.574,266.244,-13.188,-8.472,-7.590,-5.846,-3.563,-10.276,-10.038,-8.883,-8.150,-4.898,-2.426,-9.453,-1.987,-4.703,-6.115,-9.907,0.000,-32.730,-23.723,0.959,-90.036,-47.370
73100.362,297.652,0.856,24.963,266.574,266.404,-13.404,-8.583,-7.697,-5.533,-4.102,-9.030,-9.931,-8.883,-7.704,-5.940,-1.582,-9.559,-1.673,-4.598,-6.737,-8.331,0.000,-32.692,-23.743,0.959,-90.052,-47.370
73104.394,297.656,0.856,24.970,266.732,266.244,-14.269,-9.029,-7.056,-6.577,-3.887,-9.965,-9.825,-9.632,-8.597,-5.731,-2.848,-9.453,-2.300,-5.330,-6.322,-9.006,0.000,-32.711,-23.774,0.959,-90.019,-47.360
73096.331,297.653,0.856,24.971,266.732,266.565,-13.512,-8.806,-7.590,-5.951,-5.182,-9.653,-9.718,-9.632,-7.704,-4.689,-1.477,-9.134,-1.882,-4.285,-6.944,-9.119,0.000,-32.769,-23.794,0.959,-90.036,-47.381
73092.300,297.652,0.855,24.975,266.811,266.244,-13.512,-8.472,-6.949,-6.159,-3.563,-10.172,-9.931,-8.669,-8.597,-5.106,-2.109,-9.772,-2.614,-3.971,-6.633,-9.907,0.000,-32.769,-23.814,0.958,-90.036,-47.381
73092.300,297.653,0.855,24.972,266.732,266.244,-13.404,-8.694,-7.804,-5.742,-4.210,-9.757,-9.825,-9.311,-7.368,-5.731,-2.320,-9.028,-2.509,-3.971,-6.529,-8.781,0.000,-32.749,-23.875,0.960,-90.052,-47.381
73092.300,297.650,0.855,24.972,266.732,266.244,-13.296,-8.360,-6.735,-6.473,-4.318,-9.446,-10.145,-9.097,-7.256,-4.585,-2.320,-9.241,-2.196,-4.598,-6.219,-8.669,0.000,-32.730,-23.916,0.960,-90.019,-47.381
73096.331,297.653,0.856,24.971,266.732,266.565,-13.404,-8.806,-7.056,-5.742,-4.426,-9.134,-9.504,-10.060,-7.591,-4.585,-2.214,-9.665,-2.405,-4.180,-6.426,-9.344,0.000,-32.788,-23.946,0.962,-90.036,-47.381
73096.331,297.652,0.856,24.982,266.969,266.244,-13.296,-9.698,-7.270,-5.951,-3.779,-9.446,-9.825,-8.134,-8.372,-4.898,-2.425,-9.558,-2.091,-3.867,-6.115,-9.231,0.000,-32.749,-23.946,0.962,-90.036,-47.381
