%Time (sec),Pressure (psi),Top of Top (C),Bottom of Top (C),Top of Bottom (C),Bottom of Bottom (C),Current (A),Opt Switch,%9/12/20193:58 PM
0,-0.028369,25.671515,25.671722,34.453227,33.876396,0.013745,0,
0.000605,-0.028735,25.671515,25.671722,34.453227,33.876396,0.015674,0,
0.001211,-0.028598,25.671515,25.671722,34.453227,33.876396,0.013122,0,
0.001816,-0.029001,25.671515,25.671722,34.453227,33.876396,0.013185,0,
0.002422,-0.029272,25.671515,25.671722,34.453227,33.876396,0.02258,0,
0.003027,-0.029355,25.671515,25.671722,34.453227,33.876396,0.014223,0,
0.003633,-0.029591,25.671515,25.671722,34.453227,33.876396,0.019491,0,
0.004238,-0.029647,25.671515,25.671722,34.453227,33.876396,0.007413,0,
0.004844,-0.02999,25.671515,25.671722,34.453227,33.876396,0.009694,0,
0.005449,-0.030153,25.671515,25.671722,34.453227,33.876396,0.022435,0,
0.006055,-0.030313,25.671515,25.671722,34.453227,33.876396,0.023058,0,
0.00666,-0.030445,25.671515,25.671722,34.453227,33.876396,0.01572,0,
0.007266,-0.03055,25.671515,25.671722,34.453227,33.876396,0.00675,0,
0.007871,-0.030873,25.671515,25.671722,34.453227,33.876396,0.01627,0,
0.008477,-0.030914,25.671515,25.671722,34.453227,33.876396,0.008019,0,
0.009082,-0.031204,25.671515,25.671722,34.453227,33.876396,0.010287,0,
0.009687,-0.031258,25.671515,25.671722,34.453227,33.876396,0.012321,0,
0.010293,-0.031469,25.671515,25.671722,34.453227,33.876396,0.024505,0,
0.010898,-0.031715,25.671515,25.671722,34.453227,33.876396,0.018941,0,
0.011504,-0.031911,25.671515,25.671722,34.453227,33.876396,0.013851,0,
0.012109,-0.032069,25.671515,25.671722,34.453227,33.876396,0.014052,0,
0.012715,-0.032375,25.671515,25.671722,34.453227,33.876396,0.012268,0,
0.01332,-0.032391,25.671515,25.671722,34.453227,33.876396,0.01776,0,
0.013926,-0.032507,25.671515,25.671722,34.453227,33.876396,0.01808,0,
0.014531,-0.032778,25.671515,25.671722,34.453227,33.876396,0.010284,0,
0.015137,-0.032968,25.671515,25.671722,34.453227,33.876396,0.020569,0,
0.015742,-0.033094,25.671515,25.671722,34.453227,33.876396,0.02403,0,
0.016348,-0.033372,25.671515,25.671722,34.453227,33.876396,0.018083,0,
0.016953,-0.033533,25.671515,25.671722,34.453227,33.876396,0.016834,0,
0.017559,-0.033684,25.671515,25.671722,34.453227,33.876396,0.011807,0,
0.018164,-0.033893,25.729049,25.746052,34.482123,33.901648,0.010406,0,
0.01877,-0.033866,25.729049,25.746052,34.482123,33.901648,0.020022,0,
