%Time [ms],Commanded Torque [mNm],Angular Velocity [RPM],Actual Current [Amp],%3/6/20209:40 AM
0,0,0,0,
20,20,23.437,-0.007,
30,20,23.437,-0.007,
40,20,23.437,-0.007,
50,20,5.859,-0.008,
60,20,5.859,-0.008,
70,20,5.859,-0.008,
80,20,35.156,0.019,
90,20,35.156,0.019,
100,20,35.156,0.019,
110,20,0,-0.005,
120,20,0,-0.005,
130,20,0,-0.005,
140,20,46.875,-0.001,
150,20,46.875,-0.001,
160,20,46.875,-0.001,
170,20,27.344,0.018,
180,20,27.344,0.018,
190,20,27.344,0.018,
200,20,-15.625,0.005,
210,20,-15.625,0.005,
220,20,-15.625,0.005,
230,20,15.625,-0.024,
240,20,15.625,-0.024,
250,20,15.625,-0.024,
260,20,9.766,-0.008,
270,20,9.766,-0.008,
280,20,9.766,-0.008,
290,20,15.625,-0.018,
300,20,15.625,-0.018,
310,20,15.625,-0.018,
320,20,27.344,0.015,
330,20,27.344,0.015,
340,20,27.344,0.015,
350,20,31.25,-0.012,
360,20,31.25,-0.012,
370,20,31.25,-0.012,
380,20,17.578,-0.02,
390,20,17.578,-0.02,
400,20,17.578,-0.02,
410,20,13.672,0.015,
420,20,13.672,0.015,
430,20,13.672,0.015,
440,20,5.859,-0.013,
450,20,5.859,-0.013,
460,20,5.859,-0.013,
470,20,-1.953,0.001,
480,20,-1.953,0.001,
490,20,-1.953,0.001,
500,20,11.719,0.008,
510,20,11.719,0.008,
520,20,11.719,0.008,
530,20,25.391,0.016,
540,20,25.391,0.016,
550,20,25.391,0.016,
560,20,31.25,0.021,
570,20,31.25,0.021,
580,20,31.25,0.021,
590,20,33.203,0.017,
600,20,33.203,0.017,
610,20,33.203,0.017,
620,20,46.875,0.001,
630,20,46.875,0.001,
640,20,46.875,0.001,
650,20,-7.812,-0.008,
660,20,-7.812,-0.008,
670,20,-7.812,-0.008,
680,20,0,-0.013,
690,20,0,-0.013,
700,20,0,-0.013,
710,20,15.625,0,
720,20,15.625,0,
