%ArduinoTime [ms],Reference Position [rad],Measured Position [rad],Actual Current [A],Proportional Gain [Kp],Derivative Gain [Kd],Integral Gain [Ki],%4/17/20209:21 AM
0,0,0,0,0,0,0,
358290,0,0,0,100,0,0,
358320,0,0,0,100,0,0,
358320,0,0,0,100,0,0,
358320,0,0,0,100,0,0,
358350,0,0,0,100,0,0,
358350,0,0,0,100,0,0,
358350,0,0,0,100,0,0,
358380,0,0,0,100,0,0,
358380,0,0,0,100,0,0,
358380,0,0,0,100,0,0,
358410,0,0,0,100,0,0,
358410,0,0,0,100,0,0,
358410,0,0,0,100,0,0,
358440,0,0,0,100,0,0,
358440,0,0,0,100,0,0,
358440,0,0,0,100,0,0,
358470,0,0,0,100,0,0,
358470,0,0,0,100,0,0,
358470,0,0,0,100,0,0,
358500,0,0,0,100,0,0,
358500,0,0,0,100,0,0,
358500,0,0,0,100,0,0,
358530,0,0,0,100,0,0,
358530,0,0,0,100,0,0,
358530,0,0,0,100,0,0,
358560,0,0,0,100,0,0,
358560,0,0,0,100,0,0,
358560,0,0,0,100,0,0,
358590,0,0,0,100,0,0,
358590,0,0,0,100,0,0,
358590,0,0,0,100,0,0,
358620,0,0,0,100,0,0,
358620,0,0,0,100,0,0,
358620,0,0,0,100,0,0,
358650,0,0,0,100,0,0,
358650,0,0,0,100,0,0,
358650,0,0,0,100,0,0,
358680,0,0,0,100,0,0,
358680,0,0,0,100,0,0,
358680,0,0,0,100,0,0,
358710,0,0,0,100,0,0,
358710,0,0,0,100,0,0,
358710,0,0,0,100,0,0,
358740,0,0,0,100,0,0,
358740,0,0,0,100,0,0,
358740,0,0,0,100,0,0,
358770,0,0,0,100,0,0,
358770,0,0,0,100,0,0,
358770,0,0,0,100,0,0,
358800,0,0,0,100,0,0,
358800,0,0,0,100,0,0,
358800,0,0,0,100,0,0,
358830,0,0,0,100,0,0,
358830,0,0,0,100,0,0,
358830,0,0,0,100,0,0,
358860,0,0,0,100,0,0,
358860,0,0,0,100,0,0,
358860,0,0,0,100,0,0,
358890,0,0,0,100,0,0,
358890,0,0,0,100,0,0,
358890,0,0,0,100,0,0,
358920,0,0,0,100,0,0,
358920,0,0,0,100,0,0,
358920,0,0,0,100,0,0,
358950,0,0,0,100,0,0,
358950,0,0,0,100,0,0,
358950,0,0,0,100,0,0,
358980,0,0,0,100,0,0,
358980,0,0,0,100,0,0,
358980,0,0,0,100,0,0,
359010,0,0,0,100,0,0,
359010,0,0,0,100,0,0,
359010,0,0,0,100,0,0,
359040,0,0,0,100,0,0,
359040,0,0,0,100,0,0,
359040,0,0,0,100,0,0,
359070,0,0,-0.016,100,0,0,
359070,0,0,-0.016,100,0,0,
359070,0,0,-0.016,100,0,0,
359100,0,0,-0.016,100,0,0,
359100,0,0,-0.016,100,0,0,
359100,0,0,-0.016,100,0,0,
359130,0,0,-0.016,100,0,0,
359130,0,0,-0.016,100,0,0,
359130,0,0,-0.016,100,0,0,
359160,0,0,-0.016,100,0,0,
359160,0,0,-0.016,100,0,0,
359160,0,0,-0.016,100,0,0,
359190,0,0,-0.016,100,0,0,
359190,0,0,-0.016,100,0,0,
359190,0,0,-0.016,100,0,0,
359220,0,0,-0.016,100,0,0,
359220,0,0,-0.016,100,0,0,
359220,0,0,-0.016,100,0,0,
359250,0,0,-0.016,100,0,0,
359250,0,0,-0.016,100,0,0,
359250,0,0,-0.016,100,0,0,
359280,0,0,-0.016,100,0,0,
359280,0,0,-0.016,100,0,0,
359280,0,0,-0.016,100,0,0,
359310,0,0,-0.016,100,0,0,
359310,0,0,-0.016,100,0,0,
359310,0,0,-0.016,100,0,0,
359340,0,0,-0.016,100,0,0,
359340,0,0,-0.016,100,0,0,
359340,0,0,-0.016,100,0,0,
359370,0,0,-0.016,100,0,0,
359370,0,0,-0.016,100,0,0,
359370,0,0,-0.016,100,0,0,
359400,0,0,-0.016,100,0,0,
359400,0,0,-0.016,100,0,0,
359400,0,0,-0.016,100,0,0,
359430,0,0,-0.016,100,0,0,
359430,0,0,-0.016,100,0,0,
359430,0,0,-0.016,100,0,0,
359460,0,0,-0.016,100,0,0,
359460,0,0,-0.016,100,0,0,
359460,0,0,-0.016,100,0,0,
359490,0,0,-0.016,100,0,0,
359490,0,0,-0.016,100,0,0,
359490,0,0,-0.016,100,0,0,
359520,0,0,-0.016,100,0,0,
359520,0,0,-0.016,100,0,0,
359520,0,0,-0.016,100,0,0,
359550,0,0,-0.016,100,0,0,
359550,0,0,-0.016,100,0,0,
359550,0,0,-0.016,100,0,0,
359580,0,0,-0.016,100,0,0,
359580,0,0,-0.016,100,0,0,
359580,0,0,-0.016,100,0,0,
359610,0,0,-0.016,100,0,0,
359610,0,0,-0.016,100,0,0,
359610,0,0,-0.016,100,0,0,
359640,0,0,-0.016,100,0,0,
359640,0,0,-0.016,100,0,0,
359640,0,0,-0.016,100,0,0,
359670,0,0,-0.016,100,0,0,
359670,0,0,-0.016,100,0,0,
359670,0,0,-0.016,100,0,0,
359700,0,0,-0.016,100,0,0,
359700,0,0,-0.016,100,0,0,
359700,0,0,-0.016,100,0,0,
359730,0,0,-0.016,100,0,0,
359730,0,0,-0.016,100,0,0,
359730,0,0,-0.016,100,0,0,
359760,0,0,-0.016,100,0,0,
359760,0,0,-0.016,100,0,0,
359760,0,0,-0.016,100,0,0,
359790,0,0,-0.016,100,0,0,
359790,0,0,-0.016,100,0,0,
359790,0,0,-0.016,100,0,0,
359820,0,0,-0.016,100,0,0,
359820,0,0,-0.016,100,0,0,
359820,0,0,-0.016,100,0,0,
359850,0,0,-0.016,100,0,0,
359850,0,0,-0.016,100,0,0,
359850,0,0,-0.016,100,0,0,
359880,0,0,-0.016,100,0,0,
359880,0,0,-0.016,100,0,0,
359880,0,0,-0.016,100,0,0,
359910,0,0,-0.016,100,0,0,
359910,0,0,-0.016,100,0,0,
359910,0,0,-0.016,100,0,0,
359940,0,0,-0.016,100,0,0,
359940,0,0,-0.016,100,0,0,
359940,0,0,-0.016,100,0,0,
359970,0,0,-0.016,100,0,0,
359970,0,0,-0.016,100,0,0,
359970,0,0,-0.016,100,0,0,
360000,0,0,-0.016,100,0,0,
360000,0,0,-0.016,100,0,0,
360000,0,0,-0.016,100,0,0,
360030,0,0,-0.016,100,0,0,
360030,0,0,-0.016,100,0,0,
360030,0,0,-0.016,100,0,0,
360060,0,0,-0.016,100,0,0,
360060,0,0,-0.016,100,0,0,
360060,0,0,-0.016,100,0,0,
360090,0,0,-0.016,100,0,0,
360090,0,0,-0.016,100,0,0,
360090,0,0,-0.016,100,0,0,
360120,0,0,-0.016,100,0,0,
360120,0,0,-0.016,100,0,0,
360120,0,0,-0.016,100,0,0,
360150,0,0,-0.016,100,0,0,
